,nativeSpeaker,age,shoeSize,score
1,yes,5,24.83188906,32.29384958
2,yes,6,25.95237776,36.63104931
3,no,11,30.42169998,49.60592703
4,yes,7,28.66450054,40.28455592
5,yes,11,31.88207029,55.46085119
6,yes,10,30.07842925,52.83123794
7,no,7,27.25962889,34.40228902
8,yes,11,30.72398462,55.52747125
9,yes,5,25.64410907,32.49934887
10,no,7,26.69834864,33.93269172
11,yes,11,31.86644822,55.46876338
12,yes,10,29.15575486,51.34140404
13,no,9,29.13156045,41.77098064
14,no,6,26.86512796,30.03304444
15,no,5,24.23419541,25.62267613
16,yes,6,25.6753782,35.30041616
17,no,5,24.86357287,25.62842664
18,no,6,26.15357251,30.76591151
19,no,9,27.82057459,41.93845525
20,yes,5,24.86766265,31.69986486
21,no,6,25.21054116,30.37086075
22,no,6,27.36395256,29.29950664
23,no,8,28.66428544,38.08836688
24,yes,9,29.98455472,48.62985672
25,yes,10,30.84167667,52.41078944
26,no,7,26.80695643,34.18834945
27,yes,6,26.88768373,35.34583162
28,yes,8,28.42650037,43.72036726
29,no,11,31.71159242,48.67964651
30,yes,8,27.77712044,44.14727858
31,yes,9,28.88451649,48.69638488
32,yes,7,26.66743186,39.65520302
33,no,9,28.91361839,41.79738991
34,no,9,27.88048131,42.4219527
35,yes,7,25.46580907,39.70293119
36,yes,8,27.7170116,44.06255468
37,no,7,25.18566832,34.27840035
38,yes,11,30.78969621,55.98100969
39,yes,11,30.75663889,55.8603675
40,yes,11,30.51397133,56.60820472
41,no,5,26.23731764,26.18400608
42,no,5,24.36030214,25.36158162
43,no,7,27.60571494,32.88145844
44,no,10,29.64753814,45.76171263
45,yes,8,29.49313117,43.48725552
46,yes,7,26.9228253,38.91425307
47,yes,8,28.35510656,44.99323537
48,no,6,26.10433116,29.35035798
49,yes,8,29.63552274,43.66694911
50,yes,8,27.25305861,43.68386683
51,no,8,26.22136764,37.74102677
52,yes,6,26.12942067,36.26278215
53,no,9,30.46198579,42.50193796
54,no,7,27.81341604,34.33921241
55,yes,10,29.37198889,52.83951062
56,yes,10,29.34366188,51.94718144
57,yes,7,25.46308364,39.52238757
58,no,10,28.77306715,45.8553999
59,no,11,30.35262722,50.02398526
60,no,8,29.32793134,37.52171884
61,yes,10,28.87460575,51.53770543
62,no,7,26.62041949,33.96622799
63,no,7,28.11487219,33.39622371
64,no,11,30.98741351,50.28310455
65,yes,10,29.25487993,50.80650413
66,yes,5,24.54372447,31.95699589
67,no,8,26.99162546,37.61790954
68,no,11,30.26624497,50.22453642
69,no,7,27.86489499,34.20964865
70,yes,10,30.16981748,52.16762679
71,yes,7,25.53494866,40.2496479
72,no,7,26.75747033,34.72458314
73,yes,10,29.62772837,51.47984246
74,no,5,24.41493073,25.32840865
75,no,9,30.64056066,42.88391645
76,yes,7,26.78044535,39.36538927
77,yes,8,28.51235807,43.69139786
78,yes,5,23.68071191,32.3329008
79,no,7,26.75670513,33.12978143
80,no,10,29.65228306,47.08507219
81,no,9,29.33336501,41.29804154
82,no,6,26.47542548,29.52374899
83,no,9,28.35927005,41.92928774
84,no,8,27.15459002,38.3058728
85,no,10,30.58495792,45.20210693
86,yes,9,30.08234074,48.72401197
87,no,9,28.34494339,42.42763481
88,yes,11,29.25025383,55.98532889
89,yes,9,28.21582577,48.1895708
90,no,8,28.10878257,37.39200654
91,no,8,26.78507217,37.40460011
92,yes,10,31.09257763,51.95835585
93,no,5,24.29214454,26.37935373
94,no,7,27.03635056,33.52986207
95,yes,7,24.92220757,40.19922898
96,no,6,27.22614837,29.540961
97,yes,7,25.61013621,41.15145206
98,yes,10,28.44878028,52.57930677
99,yes,7,27.60033899,40.01064447
100,yes,11,31.97304875,56.71150768
101,yes,8,28.84969168,44.40834006
102,yes,8,25.40452725,44.37063586
103,no,7,27.12366334,33.92261141
104,no,8,27.75042863,37.98348884
105,no,10,28.64211639,46.20969483
106,no,9,28.71581977,41.52102016
107,no,11,32.32778734,50.84002613
108,yes,6,25.85061727,35.64016448
109,no,7,27.58853675,33.78007058
110,yes,9,29.76885464,47.64465575
111,no,9,27.52511751,41.96255084
112,yes,8,28.7068853,44.16713352
113,yes,7,27.24819563,39.3270777
114,yes,10,29.50318674,50.7246758
115,no,5,24.13292827,25.2624913
116,yes,9,29.29459428,47.63109791
117,no,7,28.29017983,35.45639904
118,yes,8,28.32114918,43.38115533
119,no,9,29.13135053,42.6931111
120,no,6,27.02040935,29.48739435
121,no,10,29.79422263,45.69791034
122,yes,5,26.45670859,31.79276481
123,yes,7,26.65218029,39.50889983
124,yes,8,27.71527226,43.83161261
125,no,9,27.94759136,41.55370047
126,yes,9,27.84047174,48.263844
127,yes,10,29.75824384,52.25216494
128,yes,11,31.99926471,56.30992545
129,yes,7,27.27246054,40.04556405
130,no,5,24.77754971,25.89564704
131,no,8,27.76646297,38.22459833
132,no,10,30.28040114,46.25184582
133,yes,8,27.74346367,44.04663149
134,no,6,26.98122727,29.46079364
135,yes,10,29.60864668,52.38148562
136,no,6,25.65384976,30.64317046
137,no,6,25.20919691,30.64097355
138,yes,11,31.98909412,56.00218057
139,no,5,25.37091276,25.9261403
140,no,8,27.97674278,37.81025761
